state,model,rmse,mae,mape,training_time_seconds,version,timestamp
California,arima,901787663.0304,514781057.5563,135.6154,1.898,v1,2026-05-07T07:44:17.541272Z
California,prophet,670541195.5561,610782910.0752,75.864,2.486,v1,2026-05-07T07:44:17.541272Z
California,xgboost,508038152.9794,451795884.975,39.4438,0.451,v1,2026-05-07T07:44:17.541272Z
California,lstm,589552980.626,485369516.1686,77.5216,27.375,v1,2026-05-07T07:44:17.541272Z
Texas,arima,1219277619.9135,805375119.5186,176.485,8.936,v1,2026-05-07T07:44:37.978881Z
Texas,prophet,675927968.5521,605979468.2476,77.1413,0.534,v1,2026-05-07T07:44:37.978881Z
Texas,xgboost,467738079.8135,425977101.825,33.5495,1.196,v1,2026-05-07T07:44:37.978881Z
Texas,lstm,614006900.0798,524139594.4274,75.6849,6.284,v1,2026-05-07T07:44:37.978881Z
Arizona,arima,231277930.9278,126055166.1934,136.6032,27.19,v1,2026-05-07T08:02:35.137290Z
Arizona,prophet,170220773.4036,156216154.0295,74.9002,5.463,v1,2026-05-07T08:02:35.137290Z
Arizona,xgboost,123973899.1672,105886582.05,24.3786,2.363,v1,2026-05-07T08:02:35.137290Z
Arizona,lstm,150358777.0975,125617920.6738,77.0454,59.023,v1,2026-05-07T08:02:35.137290Z
California,arima,901787663.0304,514781057.5563,135.6154,26.023,v2,2026-05-07T08:02:42.285200Z
California,prophet,670541195.5561,610782910.0752,75.864,5.66,v2,2026-05-07T08:02:42.285200Z
California,xgboost,508038152.9794,451795884.975,39.4438,2.387,v2,2026-05-07T08:02:42.285200Z
California,lstm,582475633.8195,458961571.2219,79.6232,60.048,v2,2026-05-07T08:02:42.285200Z
Arkansas,arima,112918501.561,64223915.9605,136.5882,27.145,v1,2026-05-07T08:02:53.496299Z
Arkansas,prophet,82939060.9501,75447468.1039,75.7573,6.097,v1,2026-05-07T08:02:53.496299Z
Arkansas,xgboost,69753074.8027,58155709.8625,50.14,2.67,v1,2026-05-07T08:02:53.496299Z
Arkansas,lstm,72561856.5046,58564500.5663,78.3185,77.896,v1,2026-05-07T08:02:53.496299Z
Alabama,arima,212281470.8984,119033456.8076,137.3614,26.703,v1,2026-05-07T08:02:53.735713Z
Alabama,prophet,153606904.8688,137748545.5092,77.1496,6.41,v1,2026-05-07T08:02:53.735713Z
Alabama,xgboost,103726482.8187,84422065.3625,42.0043,2.542,v1,2026-05-07T08:02:53.735713Z
Alabama,lstm,137453040.4159,113699068.1328,77.3754,77.075,v1,2026-05-07T08:02:53.735713Z
Colorado,arima,182557399.9329,101466585.5484,136.3305,6.661,v1,2026-05-07T08:03:46.204286Z
Colorado,prophet,133031072.2735,120292799.8303,76.0928,1.813,v1,2026-05-07T08:03:46.204286Z
Colorado,xgboost,104521455.1673,88084277.525,49.5948,13.768,v1,2026-05-07T08:03:46.204286Z
Colorado,lstm,118004884.0728,96569144.6254,77.7047,35.751,v1,2026-05-07T08:03:46.204710Z
Connecticut,arima,91949160.6184,51633728.7028,136.9869,5.457,v1,2026-05-07T08:03:50.170181Z
Connecticut,prophet,66208592.7317,59885093.2222,75.5396,1.177,v1,2026-05-07T08:03:50.170181Z
Connecticut,xgboost,37246874.7805,29566776.4,43.8226,13.705,v1,2026-05-07T08:03:50.170181Z
Connecticut,lstm,59542161.2796,49790267.7602,76.6441,36.881,v1,2026-05-07T08:03:50.170181Z
